dataset,attack,method,metric,n,mean,sample_sd,ci95_low,ci95_high
digits,adaptive_tierguard_aware,hfl_fedavg,clean_accuracy,6,0.8816666666666667,0.05377938473264847,0.8252286636365475,0.938104669696786
digits,adaptive_tierguard_aware,hfl_fedavg,macro_f1,6,0.8775412209041028,0.06418324994087274,0.8101850309317992,0.9448974108764064
digits,adaptive_tierguard_aware,hfl_fedavg,attack_success_rate,6,0.08423630220611862,0.11849826234105514,-0.0401199975603288,0.20859260197256604
digits,adaptive_tierguard_aware,hfl_fltrust,clean_accuracy,6,0.6638888888888889,0.08266173820434072,0.5771407147615022,0.7506370630162755
digits,adaptive_tierguard_aware,hfl_fltrust,macro_f1,6,0.6314078966145894,0.1105733517242067,0.5153682804924528,0.747447512736726
digits,adaptive_tierguard_aware,hfl_fltrust,attack_success_rate,6,0.10289024819642549,0.1284268700927142,-0.03188548639916049,0.23766598279201145
digits,adaptive_tierguard_aware,hfl_rfa,clean_accuracy,6,0.8377777777777777,0.052943016186867975,0.7822174897076885,0.893338065847867
digits,adaptive_tierguard_aware,hfl_rfa,macro_f1,6,0.8258130678135046,0.06025447974060796,0.7625798693103201,0.8890462663166891
digits,adaptive_tierguard_aware,hfl_rfa,attack_success_rate,6,0.01967863137738846,0.01607112944517257,0.0028130153642425895,0.03654424739053433
digits,adaptive_tierguard_aware,hfl_trimmed_mean,clean_accuracy,6,0.8344444444444443,0.0533194426355243,0.7784891210433357,0.890399767845553
digits,adaptive_tierguard_aware,hfl_trimmed_mean,macro_f1,6,0.8234656233413391,0.06389060137815288,0.756416549200718,0.8905146974819602
digits,adaptive_tierguard_aware,hfl_trimmed_mean,attack_success_rate,6,0.05034407813187119,0.054622747155156935,-0.006978979481777496,0.10766713574551987
digits,adaptive_tierguard_aware,tierguard,clean_accuracy,6,0.8677777777777779,0.03124574045044054,0.834987384154146,0.9005681714014098
digits,adaptive_tierguard_aware,tierguard,macro_f1,6,0.8620119033510197,0.03498503424891801,0.8252973615472236,0.8987264451548159
digits,adaptive_tierguard_aware,tierguard,attack_success_rate,6,0.01318499640390599,0.012267154725011185,0.00031140703536082677,0.026058585772451154
digits,backdoor_model_replacement,hfl_fedavg,clean_accuracy,6,0.4888888888888889,0.24012650986665496,0.23689157135098643,0.7408862064267914
digits,backdoor_model_replacement,hfl_fedavg,macro_f1,6,0.4390998695601835,0.2849983426983953,0.14001245142119795,0.7381872876991691
digits,backdoor_model_replacement,hfl_fedavg,attack_success_rate,6,0.7869786772743584,0.31532697165944257,0.45606331499446834,1.1178940395542485
digits,backdoor_model_replacement,hfl_fltrust,clean_accuracy,6,0.6527777777777778,0.23633701611297622,0.404757290042149,0.9007982655134066
digits,backdoor_model_replacement,hfl_fltrust,macro_f1,6,0.6214119286403507,0.2556982450581871,0.3530730772174318,0.8897507800632696
digits,backdoor_model_replacement,hfl_fltrust,attack_success_rate,6,0.038677293814183375,0.05718318061010606,-0.021332773920670935,0.09868736154903768
digits,backdoor_model_replacement,hfl_rfa,clean_accuracy,6,0.7722222222222223,0.10563388906273646,0.661366254258968,0.8830781901854765
digits,backdoor_model_replacement,hfl_rfa,macro_f1,6,0.7440667473502717,0.131392282244228,0.6061790035559065,0.8819544911446369
digits,backdoor_model_replacement,hfl_rfa,attack_success_rate,6,0.03320076385439353,0.04669340408170278,-0.01580095853700999,0.08220248624579704
digits,backdoor_model_replacement,hfl_trimmed_mean,clean_accuracy,6,0.32666666666666666,0.26717451641618484,0.046284207067547545,0.6070491262657858
digits,backdoor_model_replacement,hfl_trimmed_mean,macro_f1,6,0.2782188018883956,0.2806209548549713,-0.016274829438053362,0.5727124332148446
digits,backdoor_model_replacement,hfl_trimmed_mean,attack_success_rate,6,0.8256995705118103,0.2672006705196083,0.5452896638644291,1.1061094771591915
digits,backdoor_model_replacement,tierguard,clean_accuracy,6,0.8616666666666667,0.028264622567600105,0.8320047643960188,0.8913285689373146
digits,backdoor_model_replacement,tierguard,macro_f1,6,0.8518021214348122,0.03366784629038799,0.8164698836191392,0.8871343592504851
digits,backdoor_model_replacement,tierguard,attack_success_rate,6,0.03626868778877896,0.04631162976591584,-0.012332387029240846,0.08486976260679877
fashionmnist,adaptive_tierguard_aware,hfl_fedavg,clean_accuracy,6,0.7746666666666666,0.030236842868703505,0.7429350461223144,0.8063982872110188
fashionmnist,adaptive_tierguard_aware,hfl_fedavg,macro_f1,6,0.7600961084179164,0.03681990607135022,0.721455986729019,0.7987362301068138
fashionmnist,adaptive_tierguard_aware,hfl_fedavg,attack_success_rate,6,0.885104505380773,0.14019356980302322,0.737980376745235,1.032228634016311
fashionmnist,adaptive_tierguard_aware,hfl_fltrust,clean_accuracy,6,0.7655,0.024566236993076515,0.7397193153613343,0.7912806846386656
fashionmnist,adaptive_tierguard_aware,hfl_fltrust,macro_f1,6,0.7508395881033344,0.03669317861423048,0.7123324587244918,0.789346717482177
fashionmnist,adaptive_tierguard_aware,hfl_fltrust,attack_success_rate,6,0.8893577514242711,0.11183703336973336,0.7719919827458364,1.0067235201027058
fashionmnist,adaptive_tierguard_aware,hfl_rfa,clean_accuracy,6,0.7488333333333332,0.05140590108797496,0.6948861486306446,0.8027805180360219
fashionmnist,adaptive_tierguard_aware,hfl_rfa,macro_f1,6,0.7316363800610114,0.06383374407956097,0.6646469739959209,0.7986257861261019
fashionmnist,adaptive_tierguard_aware,hfl_rfa,attack_success_rate,6,0.8033165646352192,0.3194166976853313,0.4681092981063513,1.138523831164087
fashionmnist,adaptive_tierguard_aware,hfl_trimmed_mean,clean_accuracy,6,0.7706666666666667,0.02427893462791697,0.7451874873694259,0.7961458459639076
fashionmnist,adaptive_tierguard_aware,hfl_trimmed_mean,macro_f1,6,0.7535398260602664,0.02478745998066999,0.7275269821340559,0.7795526699864769
fashionmnist,adaptive_tierguard_aware,hfl_trimmed_mean,attack_success_rate,6,0.7999855696091607,0.11777061314213319,0.6763928908454037,0.9235782483729177
fashionmnist,adaptive_tierguard_aware,tierguard,clean_accuracy,6,0.7575,0.03247614509143599,0.723418375894614,0.7915816241053859
fashionmnist,adaptive_tierguard_aware,tierguard,macro_f1,6,0.7397318747880837,0.03657283299272435,0.701351040393555,0.7781127091826123
fashionmnist,adaptive_tierguard_aware,tierguard,attack_success_rate,6,0.32897330775571537,0.2853310800890361,0.029536703140265352,0.6284099123711654
fashionmnist,backdoor_model_replacement,hfl_fedavg,clean_accuracy,6,0.6418333333333334,0.07909340469765268,0.5588298955629002,0.7248367711037665
fashionmnist,backdoor_model_replacement,hfl_fedavg,macro_f1,6,0.610070357866404,0.08625814312606232,0.5195479882386653,0.7005927274941426
fashionmnist,backdoor_model_replacement,hfl_fedavg,attack_success_rate,6,0.9916221510384232,0.007472848704545283,0.9837798772763229,0.9994644248005236
fashionmnist,backdoor_model_replacement,hfl_fltrust,clean_accuracy,6,0.7431666666666666,0.017474743679569874,0.724828047851279,0.7615052854820543
fashionmnist,backdoor_model_replacement,hfl_fltrust,macro_f1,6,0.7281480429325752,0.028524735083747112,0.6982131693170996,0.7580829165480507
fashionmnist,backdoor_model_replacement,hfl_fltrust,attack_success_rate,6,0.05386272884339111,0.05296120894861907,-0.001716651359267879,0.1094421090460501
fashionmnist,backdoor_model_replacement,hfl_rfa,clean_accuracy,6,0.7173333333333334,0.041263381667850096,0.6740300699884609,0.7606365966782058
fashionmnist,backdoor_model_replacement,hfl_rfa,macro_f1,6,0.68955852001,0.06440449698679587,0.6219701455024829,0.757146894517517
fashionmnist,backdoor_model_replacement,hfl_rfa,attack_success_rate,6,0.8588526163536322,0.24206319913680904,0.6048228680722258,1.1128823646350385
fashionmnist,backdoor_model_replacement,hfl_trimmed_mean,clean_accuracy,6,0.6811666666666666,0.09322535420510165,0.5833326574219059,0.7790006759114273
