dataset,attack,metric,direction,target_method,baseline_method,n_pairs,target_mean,baseline_mean,mean_difference_target_minus_baseline,difference_ci95_low,difference_ci95_high,paired_cohens_dz_favoring_target,exact_two_sided_p,holm_adjusted_p,holm_reject_0_05
digits,adaptive_tierguard_aware,clean_accuracy,higher,tierguard,hfl_fedavg,6,0.8677777777777779,0.8816666666666667,-0.013888888888888876,-0.07368182603348115,0.045904048255703406,-0.2437661652798326,0.5625,0.9375,False
digits,adaptive_tierguard_aware,clean_accuracy,higher,tierguard,hfl_fltrust,6,0.8677777777777779,0.6638888888888889,0.20388888888888887,0.11499490575932488,0.2927828720184529,2.407005053052141,0.03125,0.125,False
digits,adaptive_tierguard_aware,clean_accuracy,higher,tierguard,hfl_trimmed_mean,6,0.8677777777777779,0.8344444444444443,0.03333333333333335,-0.037394442001369384,0.10406110866803608,0.49458911765558156,0.3125,0.9375,False
digits,adaptive_tierguard_aware,clean_accuracy,higher,tierguard,hfl_rfa,6,0.8677777777777779,0.8377777777777777,0.03000000000000001,-0.047212603106596626,0.10721260310659665,0.4077452116646718,0.375,0.9375,False
digits,adaptive_tierguard_aware,macro_f1,higher,tierguard,hfl_fedavg,6,0.8620119033510197,0.8775412209041028,-0.015529317553082974,-0.08207676243304393,0.051018127326877986,-0.2448932386940524,0.5625,0.75,False
digits,adaptive_tierguard_aware,macro_f1,higher,tierguard,hfl_fltrust,6,0.8620119033510197,0.6314078966145894,0.23060400673643047,0.10879138898577369,0.35241662448708727,1.98669126270147,0.03125,0.125,False
digits,adaptive_tierguard_aware,macro_f1,higher,tierguard,hfl_trimmed_mean,6,0.8620119033510197,0.8234656233413391,0.03854628000968067,-0.0398310525604284,0.11692361257978973,0.5161165696904085,0.25,0.75,False
digits,adaptive_tierguard_aware,macro_f1,higher,tierguard,hfl_rfa,6,0.8620119033510197,0.8258130678135046,0.03619883553751524,-0.04935478318164038,0.12175245425667086,0.4440297056341363,0.3125,0.75,False
digits,adaptive_tierguard_aware,attack_success_rate,lower,tierguard,hfl_fedavg,6,0.01318499640390599,0.08423630220611862,-0.07105130580221264,-0.18740367532185706,0.04530106371743178,0.6408444699306384,0.125,0.375,False
digits,adaptive_tierguard_aware,attack_success_rate,lower,tierguard,hfl_fltrust,6,0.01318499640390599,0.10289024819642549,-0.0897052517925195,-0.23000431541729782,0.05059381183225885,0.6709944163895828,0.25,0.5,False
digits,adaptive_tierguard_aware,attack_success_rate,lower,tierguard,hfl_trimmed_mean,6,0.01318499640390599,0.05034407813187119,-0.03715908172796519,-0.09073694077057849,0.01641877731464811,0.7278391747628195,0.09375,0.375,False
digits,adaptive_tierguard_aware,attack_success_rate,lower,tierguard,hfl_rfa,6,0.01318499640390599,0.01967863137738846,-0.00649363497348247,-0.03144472889665827,0.018457458949693323,0.27312036877540424,0.5625,0.5625,False
digits,backdoor_model_replacement,clean_accuracy,higher,tierguard,hfl_fedavg,6,0.8616666666666667,0.4888888888888889,0.3727777777777779,0.11691802572857923,0.6286375298269765,1.5289871995420417,0.03125,0.125,False
digits,backdoor_model_replacement,clean_accuracy,higher,tierguard,hfl_fltrust,6,0.8616666666666667,0.6527777777777778,0.2088888888888889,-0.029637329947940605,0.4474151077257184,0.9190412938555519,0.03125,0.125,False
digits,backdoor_model_replacement,clean_accuracy,higher,tierguard,hfl_trimmed_mean,6,0.8616666666666667,0.32666666666666666,0.535,0.2655426540575488,0.8044573459424513,2.083625018203296,0.03125,0.125,False
digits,backdoor_model_replacement,clean_accuracy,higher,tierguard,hfl_rfa,6,0.8616666666666667,0.7722222222222223,0.08944444444444442,-0.03338718759219671,0.21227607648108554,0.7641857902099334,0.1875,0.1875,False
digits,backdoor_model_replacement,macro_f1,higher,tierguard,hfl_fedavg,6,0.8518021214348122,0.4390998695601835,0.4127022518746286,0.10937763961517988,0.7160268641340773,1.4278579260561577,0.03125,0.125,False
digits,backdoor_model_replacement,macro_f1,higher,tierguard,hfl_fltrust,6,0.8518021214348122,0.6214119286403507,0.2303901927944613,-0.025288888720372188,0.4860692743092948,0.9456373120887781,0.03125,0.125,False
digits,backdoor_model_replacement,macro_f1,higher,tierguard,hfl_trimmed_mean,6,0.8518021214348122,0.2782188018883956,0.5735833195464165,0.2942260929547314,0.8529405461381017,2.1547277846571125,0.03125,0.125,False
digits,backdoor_model_replacement,macro_f1,higher,tierguard,hfl_rfa,6,0.8518021214348122,0.7440667473502717,0.10773537408454033,-0.045757569636090914,0.2612283178051716,0.736589829481823,0.21875,0.21875,False
digits,backdoor_model_replacement,attack_success_rate,lower,tierguard,hfl_fedavg,6,0.03626868778877896,0.7869786772743584,-0.7507099894855794,-1.0659811357396032,-0.4354388432315557,2.49887066277018,0.03125,0.125,False
digits,backdoor_model_replacement,attack_success_rate,lower,tierguard,hfl_fltrust,6,0.03626868778877896,0.038677293814183375,-0.0024086060254044145,-0.0688632399273126,0.06404602787650378,0.03803612866573967,0.96875,1.0,False
digits,backdoor_model_replacement,attack_success_rate,lower,tierguard,hfl_trimmed_mean,6,0.03626868778877896,0.8256995705118103,-0.7894308827230313,-1.0671076570686713,-0.5117541083773913,2.9835297010936497,0.03125,0.125,False
digits,backdoor_model_replacement,attack_success_rate,lower,tierguard,hfl_rfa,6,0.03626868778877896,0.03320076385439353,0.003067923934385428,-0.07126835182711977,0.07740419969589063,-0.043311138259918475,0.875,1.0,False
fashionmnist,adaptive_tierguard_aware,clean_accuracy,higher,tierguard,hfl_fedavg,6,0.7575,0.7746666666666666,-0.017166666666666663,-0.06168756421571823,0.0273542308823849,-0.40464844174279624,0.40625,1.0,False
fashionmnist,adaptive_tierguard_aware,clean_accuracy,higher,tierguard,hfl_fltrust,6,0.7575,0.7655,-0.008000000000000007,-0.037852708910920116,0.021852708910920098,-0.2812302610198573,0.59375,1.0,False
fashionmnist,adaptive_tierguard_aware,clean_accuracy,higher,tierguard,hfl_trimmed_mean,6,0.7575,0.7706666666666667,-0.01316666666666666,-0.06572408269461705,0.03939074936128372,-0.2629042731340175,0.65625,1.0,False
fashionmnist,adaptive_tierguard_aware,clean_accuracy,higher,tierguard,hfl_rfa,6,0.7575,0.7488333333333332,0.008666666666666675,-0.01650812559442199,0.033841458927755336,0.3612784083686905,0.34375,1.0,False
fashionmnist,adaptive_tierguard_aware,macro_f1,higher,tierguard,hfl_fedavg,6,0.7397318747880837,0.7600961084179164,-0.020364233629832845,-0.08228447095190934,0.041556003692243645,-0.34513679976958916,0.40625,1.0,False
fashionmnist,adaptive_tierguard_aware,macro_f1,higher,tierguard,hfl_fltrust,6,0.7397318747880837,0.7508395881033344,-0.011107713315250642,-0.05176501007942799,0.029549583448926706,-0.28670942631488217,0.53125,1.0,False
fashionmnist,adaptive_tierguard_aware,macro_f1,higher,tierguard,hfl_trimmed_mean,6,0.7397318747880837,0.7535398260602664,-0.013807951272182706,-0.07651507616204403,0.04889917361767862,-0.23108308991086443,0.625,1.0,False
