alpha,attack,attack_success_rate,clean_accuracy,communication,config_sha256,dataset,detection_f1,detection_precision,detection_recall,experiment_name,final_round,git_commit,hierarchical_aggregation,local_epochs,macro_f1,malicious_fraction,method,num_clients,num_edges,privacy_epsilon,run_dir,runtime,seed,selected_clients_per_round,stability_failures,tierguard_adaptive_gamma,tierguard_clip_multiplier,tierguard_gamma,tierguard_score_mode,tierguard_tau_high,tierguard_tau_low,protocol_id,protocol_manifest_sha256,python,platform,device,torch_version,torchvision_version,resolved_config_sha256,configured_rounds
0.5,adaptive_tierguard_aware,0.08695652173913043,0.9033333333333333,59.97124099731445,48c460fa3a197edafe49c3077e7a49863463678b5fb39e2e5b49c432430d146b,digits,0.33333333333333337,0.2,1.0,tierguard-confirmatory-v1,20,88a02253ff67d0d336dc4dc041c8620b5b851533,True,2,0.9013454033059716,0.2,hfl_fedavg,20,5,0.0,results/confirmatory_v1/digits/hfl_fedavg/adaptive_tierguard_aware/alpha_0.5/mal_0.2/seed_101/20260915_134901_829271,10.101987361907959,101,10,0,True,4.0,0.5,relative,0.9,0.75,tierguard-confirmatory-v1,14d610cc9ec7357c3341a8848f3ff882f68045781c29b0f78e6b44bbd1f2103e,"3.12.10 (tags/v3.12.10:0cc8128, Apr  8 2025, 12:21:36) [MSC v.1943 64 bit (AMD64)]",Windows-11-10.0.26200-SP0,cpu,2.11.0+cu128,0.26.0+cu128,8c20cd547e7d3f77f9c3c9ac5ee058266efc6fe99fe07c5304c27398f1359dd7,20
0.5,adaptive_tierguard_aware,0.04044117647058824,0.8966666666666666,59.97124099731445,ffc059f0deef73c4c1c2b080c6a863bca8349118dc7ca9b797169958ad566d28,digits,0.4615384615384615,0.3,1.0,tierguard-confirmatory-v1,20,88a02253ff67d0d336dc4dc041c8620b5b851533,True,2,0.8967558897331734,0.2,hfl_fedavg,20,5,0.0,results/confirmatory_v1/digits/hfl_fedavg/adaptive_tierguard_aware/alpha_0.5/mal_0.2/seed_202/20260915_134903_818880,9.666033744812012,202,10,0,True,4.0,0.5,relative,0.9,0.75,tierguard-confirmatory-v1,14d610cc9ec7357c3341a8848f3ff882f68045781c29b0f78e6b44bbd1f2103e,"3.12.10 (tags/v3.12.10:0cc8128, Apr  8 2025, 12:21:36) [MSC v.1943 64 bit (AMD64)]",Windows-11-10.0.26200-SP0,cpu,2.11.0+cu128,0.26.0+cu128,be3013185fcc3e825bd6afe9e337e0ee2a27d4fc27d16cd5a7fdeaf662d8798b,20
0.5,adaptive_tierguard_aware,0.31800766283524906,0.7733333333333333,59.769317626953125,a9b25955298eaaaac4b3799f0f2691989b284dd21df87e8a73bc05b033fcfb9d,digits,0.4615384615384615,0.3,1.0,tierguard-confirmatory-v1,20,88a02253ff67d0d336dc4dc041c8620b5b851533,True,2,0.7481641776379097,0.2,hfl_fedavg,20,5,0.0,results/confirmatory_v1/digits/hfl_fedavg/adaptive_tierguard_aware/alpha_0.5/mal_0.2/seed_303/20260915_134911_360903,9.599652767181396,303,10,0,True,4.0,0.5,relative,0.9,0.75,tierguard-confirmatory-v1,14d610cc9ec7357c3341a8848f3ff882f68045781c29b0f78e6b44bbd1f2103e,"3.12.10 (tags/v3.12.10:0cc8128, Apr  8 2025, 12:21:36) [MSC v.1943 64 bit (AMD64)]",Windows-11-10.0.26200-SP0,cpu,2.11.0+cu128,0.26.0+cu128,014d6f9f78f48fa83b6204a733e4740a4e74c4d482851c5a0865c5f83028cf6e,20
0.5,adaptive_tierguard_aware,0.04887218045112782,0.8966666666666666,60.37508773803711,0b369571aa7429403c1696935dda52a1f6a326e09cb1882f3fbf4e1d6f7c7ac8,digits,0.4615384615384615,0.3,1.0,tierguard-confirmatory-v1,20,88a02253ff67d0d336dc4dc041c8620b5b851533,True,2,0.8954064622147685,0.2,hfl_fedavg,20,5,0.0,results/confirmatory_v1/digits/hfl_fedavg/adaptive_tierguard_aware/alpha_0.5/mal_0.2/seed_404/20260915_134912_179995,9.625435590744019,404,10,0,True,4.0,0.5,relative,0.9,0.75,tierguard-confirmatory-v1,14d610cc9ec7357c3341a8848f3ff882f68045781c29b0f78e6b44bbd1f2103e,"3.12.10 (tags/v3.12.10:0cc8128, Apr  8 2025, 12:21:36) [MSC v.1943 64 bit (AMD64)]",Windows-11-10.0.26200-SP0,cpu,2.11.0+cu128,0.26.0+cu128,3466a7d986b6287492c2643a36d586bc9641e1adac66dad3e3ad5919cf49c2ff,20
0.5,adaptive_tierguard_aware,0.0036496350364963502,0.9,59.36547088623047,4d3a0271e296759c2f106696df2bde7fc7fc55adf6931415848626b2a3122db9,digits,0.4615384615384615,0.3,1.0,tierguard-confirmatory-v1,20,88a02253ff67d0d336dc4dc041c8620b5b851533,True,2,0.9004215855428626,0.2,hfl_fedavg,20,5,0.0,results/confirmatory_v1/digits/hfl_fedavg/adaptive_tierguard_aware/alpha_0.5/mal_0.2/seed_505/20260915_134914_384318,9.323717594146729,505,10,0,True,4.0,0.5,relative,0.9,0.75,tierguard-confirmatory-v1,14d610cc9ec7357c3341a8848f3ff882f68045781c29b0f78e6b44bbd1f2103e,"3.12.10 (tags/v3.12.10:0cc8128, Apr  8 2025, 12:21:36) [MSC v.1943 64 bit (AMD64)]",Windows-11-10.0.26200-SP0,cpu,2.11.0+cu128,0.26.0+cu128,15898d5030a0febcdfa553caf6ecf0a54fc2d37e1cde5125c3d6a363efca876e,20
0.5,adaptive_tierguard_aware,0.00749063670411985,0.92,59.769317626953125,dcfe8d41b5f7a25a533fe465d812ffaca22d2c01354097574541c35f24eecc6b,digits,0.4615384615384615,0.3,1.0,tierguard-confirmatory-v1,20,88a02253ff67d0d336dc4dc041c8620b5b851533,True,2,0.9231538069899308,0.2,hfl_fedavg,20,5,0.0,results/confirmatory_v1/digits/hfl_fedavg/adaptive_tierguard_aware/alpha_0.5/mal_0.2/seed_606/20260915_134916_152679,9.498544931411743,606,10,0,True,4.0,0.5,relative,0.9,0.75,tierguard-confirmatory-v1,14d610cc9ec7357c3341a8848f3ff882f68045781c29b0f78e6b44bbd1f2103e,"3.12.10 (tags/v3.12.10:0cc8128, Apr  8 2025, 12:21:36) [MSC v.1943 64 bit (AMD64)]",Windows-11-10.0.26200-SP0,cpu,2.11.0+cu128,0.26.0+cu128,5ca0dd0607cdb4771f856a9c4d812cee9a62465fa262845e7e739690afb9ee0e,20
0.5,adaptive_tierguard_aware,0.0,0.5666666666666667,59.97124099731445,8ce6ff4f91675fd0e25496bc7b967d8fba544678c1f1053fd54349962869e78c,digits,0.33333333333333337,0.2,1.0,tierguard-confirmatory-v1,20,88a02253ff67d0d336dc4dc041c8620b5b851533,True,2,0.4785566003614937,0.2,hfl_fltrust,20,5,0.0,results/confirmatory_v1/digits/hfl_fltrust/adaptive_tierguard_aware/alpha_0.5/mal_0.2/seed_101/20260915_134923_565544,8.119761943817139,101,10,0,True,4.0,0.5,relative,0.9,0.75,tierguard-confirmatory-v1,14d610cc9ec7357c3341a8848f3ff882f68045781c29b0f78e6b44bbd1f2103e,"3.12.10 (tags/v3.12.10:0cc8128, Apr  8 2025, 12:21:36) [MSC v.1943 64 bit (AMD64)]",Windows-11-10.0.26200-SP0,cpu,2.11.0+cu128,0.26.0+cu128,cdbcd19e03ebd19d56d263c5ca74d5ffe3f3ac3ec6571a40d0909414f8dda9dd,20
0.5,adaptive_tierguard_aware,0.22794117647058823,0.6166666666666667,59.97124099731445,37aad4f9c7f96d062a236a945d5379a7e630fbf161af240c3e35bad14fd31234,digits,0.4615384615384615,0.3,1.0,tierguard-confirmatory-v1,20,88a02253ff67d0d336dc4dc041c8620b5b851533,True,2,0.5863273736052417,0.2,hfl_fltrust,20,5,0.0,results/confirmatory_v1/digits/hfl_fltrust/adaptive_tierguard_aware/alpha_0.5/mal_0.2/seed_202/20260915_134924_247487,7.744261264801025,202,10,0,True,4.0,0.5,relative,0.9,0.75,tierguard-confirmatory-v1,14d610cc9ec7357c3341a8848f3ff882f68045781c29b0f78e6b44bbd1f2103e,"3.12.10 (tags/v3.12.10:0cc8128, Apr  8 2025, 12:21:36) [MSC v.1943 64 bit (AMD64)]",Windows-11-10.0.26200-SP0,cpu,2.11.0+cu128,0.26.0+cu128,9e9b14b08641103c13a5195fb21cb97076d37d60676017b8a1e84fcc94a9d142,20
0.5,adaptive_tierguard_aware,0.007662835249042145,0.6666666666666666,59.769317626953125,28ca3feccfb3c5bbb262e0851af40dc32c9286d47c57d7a44498bc60c6fb3a45,digits,0.4615384615384615,0.3,1.0,tierguard-confirmatory-v1,20,88a02253ff67d0d336dc4dc041c8620b5b851533,True,2,0.5937911729223571,0.2,hfl_fltrust,20,5,0.0,results/confirmatory_v1/digits/hfl_fltrust/adaptive_tierguard_aware/alpha_0.5/mal_0.2/seed_303/20260915_134926_106896,7.7558794021606445,303,10,0,True,4.0,0.5,relative,0.9,0.75,tierguard-confirmatory-v1,14d610cc9ec7357c3341a8848f3ff882f68045781c29b0f78e6b44bbd1f2103e,"3.12.10 (tags/v3.12.10:0cc8128, Apr  8 2025, 12:21:36) [MSC v.1943 64 bit (AMD64)]",Windows-11-10.0.26200-SP0,cpu,2.11.0+cu128,0.26.0+cu128,e1d98ff2bb64cd6813f15f24702b5ca95fe2046e5d1552e94ebbe97a11d77b2a,20
0.5,adaptive_tierguard_aware,0.018796992481203006,0.7766666666666666,60.37508773803711,e6dba789ba76ba8aa2e1d40102c857a702ddc3a798c2da4013f40db953d5bdbd,digits,0.4615384615384615,0.3,1.0,tierguard-confirmatory-v1,20,88a02253ff67d0d336dc4dc041c8620b5b851533,True,2,0.7658959770423027,0.2,hfl_fltrust,20,5,0.0,results/confirmatory_v1/digits/hfl_fltrust/adaptive_tierguard_aware/alpha_0.5/mal_0.2/seed_404/20260915_134928_231719,7.528409481048584,404,10,0,True,4.0,0.5,relative,0.9,0.75,tierguard-confirmatory-v1,14d610cc9ec7357c3341a8848f3ff882f68045781c29b0f78e6b44bbd1f2103e,"3.12.10 (tags/v3.12.10:0cc8128, Apr  8 2025, 12:21:36) [MSC v.1943 64 bit (AMD64)]",Windows-11-10.0.26200-SP0,cpu,2.11.0+cu128,0.26.0+cu128,b64a109e235f8e304c2a1336ce8851e49b54f8522d9498d1a5dd8ed5944a0ddf,20
